kurst,fcurr,tcurr,gdatu,ukurs,ffact,tfact,serie,fetched_at
M,USD,MXN,1991-11-14,3.0735,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-15,3.0712,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-16,3.0718,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-17,3.0718,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-18,3.0718,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-19,3.0684,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-20,3.0673,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-21,3.0673,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-22,3.0661,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-23,3.0632,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-24,3.0632,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-25,3.0632,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-26,3.0612,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-27,3.0622,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-28,3.076,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-29,3.0731,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-11-30,3.0677,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-01,3.0677,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-02,3.0677,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-03,3.0672,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-04,3.0662,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-05,3.0666,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-06,3.066,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-07,3.0654,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-08,3.0654,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-09,3.0654,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-10,3.0643,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-11,3.0625,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-12,3.0622,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-13,3.0622,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-14,3.0623,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-15,3.0623,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-16,3.0623,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-17,3.0622,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-18,3.0753,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-19,3.0756,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-20,3.076,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-21,3.0748,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-22,3.0748,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-23,3.0748,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-24,3.0774,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-25,3.0837,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-26,3.0837,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-27,3.0841,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-28,3.071,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-29,3.071,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-30,3.071,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1991-12-31,3.0739,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-01,3.0739,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-02,3.0739,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-03,3.078,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-04,3.0753,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-05,3.0753,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-06,3.0753,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-07,3.0744,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-08,3.0695,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-09,3.0665,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-10,3.0663,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-11,3.0662,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-12,3.0662,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-13,3.0662,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-14,3.0668,1,1,SF60653,2026-07-01 0:00
M,USD,MXN,1992-01-15,3.0661,1,1,SF60653,2026-07-01 0:00
